Sentence,SentenceKey,YesRate,ConsensusScore,GoldLabel,Sentence_text,Metaphor,Derived metaphor,Category,subcategory,sentence,Source
In both tumors and normal tissues there will be cell birth and cell death,in both tumors and normal tissues there will be cell birth and cell death,3.333.333.333.333.330,33.333.333.333.333.300,no,In both tumors and normal tissues there will be cell birth and cell death,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,In both tumors and normal tissues there will be cell birth and cell death,Metaphors in medical texts
I was really impressed by how I handled it.,i was really impressed by how i handled it.,0.5,0.0,Tie,I was really impressed by how I handled it.,UNDERSTANDING IS GRASPING,,,,I was really impressed by how I handled it.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_47"
it is possible to inhibit the process of carcinogenesis with agents that have been termed anticarcinogens or to stimulate the process of initiation with agents that have been termed cocarcinogens. Both types of agents usually act during ...,it is possible to inhibit the process of carcinogenesis with agents that have been termed anticarcinogens or to stimulate the process of initiation with agents that have been termed cocarcinogens. both types of agents usually act during ...,0.5,0.0,Tie,it is possible to inhibit the process of carcinogenesis with agents that have been termed anticarcinogens or to stimulate the process of initiation with agents that have been termed cocarcinogens. Both types of agents usually act during ...,MANY_ENTITIES_ARE_CAUSATIVE_AGENTS,,,Agents,it is possible to inhibit the process of carcinogenesis with agents that have been termed anticarcinogens or to stimulate the process of initiation with agents that have been termed cocarcinogens. Both types of agents usually act during ...,Metaphors in medical texts
They do not detect other coronaviruses nor do they detect the common cold,they do not detect other coronaviruses nor do they detect the common cold,0.0,1.0,no,They do not detect other coronaviruses nor do they detect the common cold,MEDICINE_IS_A_DETECTIVE_STORY,,,,They do not detect other coronaviruses nor do they detect the common cold,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
I’m … also sharpening my weapons in case I have to do battle,i'm … also sharpening my weapons in case i have to do battle,1.0,1.0,yes,I’m … also sharpening my weapons in case I have to do battle,DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,I’m … also sharpening my weapons in case I have to do battle,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
transcriptional and posttranscriptional regulatory elements.,transcriptional and posttranscriptional regulatory elements.,0.5,0.0,Tie,transcriptional and posttranscriptional regulatory elements.,A_GENOME_IS_A_TEXT,,,Text,transcriptional and posttranscriptional regulatory elements.,Metaphors in medical texts
This information is encoded in DNA,this information is encoded in dna,6.666.666.666.666.660,33.333.333.333.333.300,yes,This information is encoded in DNA,A_GENOME_IS_A_TEXT,,,Text,This information is encoded in DNA,Metaphors in medical texts
The publication of this sent a signal to the medical community that the miraculous- sounding project of growing and implanting synthetic transplants was a viable treatment,the publication of this sent a signal to the medical community that the miraculous- sounding project of growing and implanting synthetic transplants was a viable treatment,1.0,1.0,yes,The publication of this sent a signal to the medical community that the miraculous- sounding project of growing and implanting synthetic transplants was a viable treatment,MEDICINE_IS_AGRICULTURE,,,,The publication of this sent a signal to the medical community that the miraculous- sounding project of growing and implanting synthetic transplants was a viable treatment,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
the cells that mutated received sufficient radiation to become sterile,the cells that mutated received sufficient radiation to become sterile,0.25,0.5,no,the cells that mutated received sufficient radiation to become sterile,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fertility and sterility,the cells that mutated received sufficient radiation to become sterile,Metaphors in medical texts
no permanent harm comes to the cell,no permanent harm comes to the cell,0.0,1.0,no,no permanent harm comes to the cell,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,no permanent harm comes to the cell,Metaphors in medical texts
cell fusions between differentiated and nondifferentiated partners,cell fusions between differentiated and nondifferentiated partners,0.5,0.0,Tie,cell fusions between differentiated and nondifferentiated partners,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,Environment and neighbours,cell fusions between differentiated and nondifferentiated partners,Metaphors in medical texts
...and therefore these cells will survive treatment,...and therefore these cells will survive treatment,0.0,1.0,no,...and therefore these cells will survive treatment,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Fate and survival,...and therefore these cells will survive treatment,Metaphors in medical texts
The American Diabetes Association is leading the fight against the deadly consequences of diabetes,the american diabetes association is leading the fight against the deadly consequences of diabetes,6.666.666.666.666.660,33.333.333.333.333.300,yes,The American Diabetes Association is leading the fight against the deadly consequences of diabetes,DIABETES IS WAR,,Experience of disease,,The American Diabetes Association is leading the fight against the deadly consequences of diabetes,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
My body’s working really hard for me ... its responding and doing well.,my body's working really hard for me ... its responding and doing well.,1.15,0.5,yes,My body’s working really hard for me ... its responding and doing well.,THE BODY IS A MACHINE,,,,My body’s working really hard for me ... its responding and doing well.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_21"
I asked for a brownie and instead I got diabetes,i asked for a brownie and instead i got diabetes,1.15,0.5,yes,I asked for a brownie and instead I got diabetes,DIABETES IS AN OBJECT,,Development of disease,,I asked for a brownie and instead I got diabetes,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
"If it is a recurrence that took a decade to form, “that tells me it’s not a very aggressive cancer,” he said","if it is a recurrence that took a decade to form, ""that tells me it's not a very aggressive cancer,"" he said",0.5,0.0,Tie,"If it is a recurrence that took a decade to form, “that tells me it’s not a very aggressive cancer,” he said",DISEASE_IS_A_LIVING_ENTITY,,,,"If it is a recurrence that took a decade to form, “that tells me it’s not a very aggressive cancer,” he said","theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"Sometimes members of the same family are fighting for their lives in the same hospital, giving patients a different kind of guilt","sometimes members of the same family are fighting for their lives in the same hospital, giving patients a different kind of guilt",1.0,1.0,yes,"Sometimes members of the same family are fighting for their lives in the same hospital, giving patients a different kind of guilt",MEDICINE_IS_WAR,,,,"Sometimes members of the same family are fighting for their lives in the same hospital, giving patients a different kind of guilt","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Surgeons in Sweden have carried out the world's first synthetic organ transplant,surgeons in sweden have carried out the world's first synthetic organ transplant,3.333.333.333.333.330,33.333.333.333.333.300,no,Surgeons in Sweden have carried out the world's first synthetic organ transplant,MEDICINE_IS_AGRICULTURE,,,,Surgeons in Sweden have carried out the world's first synthetic organ transplant,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
I used my nursing skills to try to navigate her cancer care.,i used my nursing skills to try to navigate her cancer care.,6.666.666.666.666.660,33.333.333.333.333.300,yes,I used my nursing skills to try to navigate her cancer care.,CANCER_IS_JOURNEY,,,,I used my nursing skills to try to navigate her cancer care.,"THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
Simple Tips On How to Battle Diabetes,simple tips on how to battle diabetes,0.8,6.000.000.000.000.000,yes,Simple Tips On How to Battle Diabetes,DIABETES IS WAR,,Experience of disease,,Simple Tips On How to Battle Diabetes,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
Research suggests the contagion can get deep into our vascular system and even our brains – so how does the virus attack?,research suggests the contagion can get deep into our vascular system and even our brains – so how does the virus attack?,1.0,1.0,yes,Research suggests the contagion can get deep into our vascular system and even our brains – so how does the virus attack?,MEDICINE_IS_WAR,,,,Research suggests the contagion can get deep into our vascular system and even our brains – so how does the virus attack?,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Cancer was the kind of wake-up call I needed.,cancer was the kind of wake-up call i needed.,0.5,0.0,Tie,Cancer was the kind of wake-up call I needed.,CANCER IS A WAKE-UP CALL,,,,Cancer was the kind of wake-up call I needed.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_38"
Another feature of cancer cells' interactions in culture is that their growth tends to be disorganized,another feature of cancer cells' interactions in culture is that their growth tends to be disorganized,1.15,0.5,yes,Another feature of cancer cells' interactions in culture is that their growth tends to be disorganized,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,Another feature of cancer cells' interactions in culture is that their growth tends to be disorganized,Metaphors in medical texts
